Identifier,ST,Pool,Quarter,Year,Period,Units,Scripts,Total Amount,Market Share,PDL Status
0,CA,Independent,1,2019,20191.00,367,344,193834.93,0.550119332,0
1,CA,Independent,1,2019,20191.00,121,117,70114.28,0.550119332,0
1,CA,Independent,1,2019,20191.00,150,102,58728.22,0.281622912,0
0,CA,Independent,1,2019,20191.00,215,134,82688.82,0.281622912,0
0,CA,Independent,1,2019,20191.00,0,0,0,0.168257757,0
1,CA,Independent,1,2019,20191.00,40,36,23679.71,0.168257757,0
0,CA,Independent,1,2019,20191.00,122,105,65792.91,0.168257757,0
1,CA,Independent,1,2019,20191.00,0,0,0,0.168257757,0
0,CA,Independent,1,2019,20191.00,0,0,0,0.168257757,0
0,MA,Independent,1,2019,20191.00,125,119,72706.35,0.938271605,0
1,MA,Independent,1,2019,20191.00,130,109,73387.42,0.938271605,0
0,MA,Independent,1,2019,20191.00,0,0,0,0,0
1,MA,Independent,1,2019,20191.00,0,0,0,0.061728395,0
0,MA,Independent,1,2019,20191.00,17,15,9929.17,0.061728395,0
1,OK,SSDC,1,2019,20191.00,0,0,0,0,0
1,OK,SSDC,1,2019,20191.00,0,0,0,0,0
0,AR,NMPI,1,2019,20191.00,0,0,0,0,0
1,AR,NMPI,1,2019,20191.00,0,0,0,0,0
0,AR,NMPI,1,2019,20191.00,0,0,0,0,0
0,AR,NMPI,1,2019,20191.00,0,0,0,0,0
0,CO,Independent,1,2019,20191.00,0,0,0,0.49787234,0
1,CO,Independent,1,2019,20191.00,301,234,169879.11,0.49787234,0
0,CO,Independent,1,2019,20191.00,28.5,19,10962.32,0.389361702,0
1,CO,Independent,1,2019,20191.00,256,164,99424.62,0.389361702,0
1,CO,Independent,1,2019,20191.00,65,53,37799.57,0.112765957,0
0,CO,Independent,1,2019,20191.00,0,0,0,0.112765957,0
1,CO,Independent,1,2019,20191.00,0,0,0,0.112765957,0
0,GA,Independent,1,2019,20191.00,79,79,45406.62,0.625550661,0
1,GA,Independent,1,2019,20191.00,64,63,36123.94,0.625550661,0
0,GA,Independent,1,2019,20191.00,91.5,57,34122.05,0.251101322,0
1,GA,Independent,1,2019,20191.00,0,0,0,0.251101322,0
0,GA,Independent,1,2019,20191.00,29,28,16638.65,0.123348018,0
1,ID,TOP$,1,2019,20191.00,21,19,12301.73,0.243589744,0
1,ID,TOP$,1,2019,20191.00,69,44,26974.69,0.564102564,0
1,ID,TOP$,1,2019,20191.00,18,15,10530.21,0.192307692,0
0,KS,Independent,1,2019,20191.00,140,129,79700.9,0.509881423,0
0,KS,Independent,1,2019,20191.00,189,124,71540.11,0.490118577,0
0,KS,Independent,1,2019,20191.00,0,0,0,0,0
0,KS,Independent,1,2019,20191.00,0,0,0,0,0
0,LA,TOP$,1,2019,20191.00,243,235,135662.41,0.602564103,0
0,LA,TOP$,1,2019,20191.00,120,80,46300.7,0.205128205,0
0,LA,TOP$,1,2019,20191.00,89,75,51374.12,0.192307692,0
0,LA,TOP$,1,2019,20191.00,0,0,0,0.192307692,0
1,MD,TOP$,1,2019,20191.00,0,0,0,0.531343284,0
0,MD,TOP$,1,2019,20191.00,194,178,109362.28,0.531343284,0
1,MD,TOP$,1,2019,20191.00,0,0,0,0.328358209,0
0,MD,TOP$,1,2019,20191.00,174,110,64298.58,0.328358209,0
0,MD,TOP$,1,2019,20191.00,0,0,0,0.140298507,0
0,MD,TOP$,1,2019,20191.00,51,47,28403.92,0.140298507,0
1,MD,TOP$,1,2019,20191.00,0,0,0,0.140298507,0
0,MD,TOP$,1,2019,20191.00,0,0,0,0.140298507,0
1,MI,NMPI,1,2019,20191.00,37,30,9976.36,0.88372093,0
0,MI,NMPI,1,2019,20191.00,124,122,70329.66,0.88372093,0
1,MI,NMPI,1,2019,20191.00,0,0,0,0,0
0,MI,NMPI,1,2019,20191.00,0,0,0,0,0
0,MI,NMPI,1,2019,20191.00,30,20,17195.01,0.11627907,0
0,MN,NMPI,1,2019,20191.00,252,236,147441.12,0.609819121,0
1,MN,NMPI,1,2019,20191.00,0,0,0,0.609819121,0
0,MN,NMPI,1,2019,20191.00,117,76,45919.41,0.196382429,0
1,MN,NMPI,1,2019,20191.00,0,0,0,0.196382429,0
1,MN,NMPI,1,2019,20191.00,0,0,0,0.19379845,0
0,MN,NMPI,1,2019,20191.00,0,0,0,0.19379845,0
1,MN,NMPI,1,2019,20191.00,0,0,0,0.19379845,0
0,MN,NMPI,1,2019,20191.00,101,75,59500.28,0.19379845,0
0,MN,NMPI,1,2019,20191.00,0,0,0,0.19379845,0
1,MO,Independent,1,2019,20191.00,326,296,180605.23,0.709832134,0
1,MO,Independent,1,2019,20191.00,130.5,81,49008.2,0.194244604,0
1,MO,Independent,1,2019,20191.00,43,40,24801.76,0.095923261,0
1,MO,Independent,1,2019,20191.00,0,0,0,0.095923261,0
1,NC,NMPI,1,2019,20191.00,739.24,679,412627.82,0.615036232,0
1,NC,NMPI,1,2019,20191.00,449.75,281,167254.6,0.254528986,0
1,NC,NMPI,1,2019,20191.00,171,144,96033.98,0.130434783,0
1,NC,NMPI,1,2019,20191.00,0,0,0,0.130434783,0
0,NH,NMPI,1,2019,20191.00,72,64,39548.62,0.673684211,0
1,NH,NMPI,1,2019,20191.00,0,0,0,0.673684211,0
0,NH,NMPI,1,2019,20191.00,46,31,16688.73,0.326315789,0
0,NH,NMPI,1,2019,20191.00,0,0,0,0,0
0,NH,NMPI,1,2019,20191.00,0,0,0,0,0
1,OR,SSDC,1,2019,20191.00,0,0,0,0.846153846,0
0,OR,SSDC,1,2019,20191.00,102,88,58071.94,0.846153846,0
0,OR,SSDC,1,2019,20191.00,0,0,0,0,0
0,OR,SSDC,1,2019,20191.00,21,16,11816.05,0.153846154,0
1,OR,SSDC,1,2019,20191.00,0,0,0,0.153846154,0
1,SC,NMPI,1,2019,20191.00,0,0,0,0.669811321,0
0,SC,NMPI,1,2019,20191.00,74,71,37742.45,0.669811321,0
0,SC,NMPI,1,2019,20191.00,73,35,20461.02,0.330188679,0
1,SC,NMPI,1,2019,20191.00,0,0,0,0.330188679,0
0,SC,NMPI,1,2019,20191.00,0,0,0,0,0
0,WA,TOP$,1,2019,20191.00,271,253,150678.98,0.6325,0
1,WA,TOP$,1,2019,20191.00,0,0,0,0.6325,0
0,WA,TOP$,1,2019,20191.00,198,130,73131.34,0.325,0
1,WA,TOP$,1,2019,20191.00,0,0,0,0.325,0
0,WA,TOP$,1,2019,20191.00,22,17,12280.91,0.0425,0
1,WV,SSDC,1,2019,20191.00,65,60,36788.3,0.566037736,0
1,WV,SSDC,1,2019,20191.00,41.5,27,15694.76,0.254716981,0
1,WV,SSDC,1,2019,20191.00,30,19,16966.25,0.179245283,0
1,AK,NMPI,1,2019,20191.00,38,36,21388.77,0.75,0
1,AK,NMPI,1,2019,20191.00,18,12,6785.74,0.25,0
1,AK,NMPI,1,2019,20191.00,0,0,0,0,0
1,AZ,Independent,1,2019,20191.00,0,0,0,0.616465863,0
0,AZ,Independent,1,2019,20191.00,334,307,186899.32,0.616465863,0
0,AZ,Independent,1,2019,20191.00,177,112,64241.04,0.224899598,0
0,AZ,Independent,1,2019,20191.00,0,0,0,0.158634538,0
0,AZ,Independent,1,2019,20191.00,86,79,47310.7,0.158634538,0
1,AZ,Independent,1,2019,20191.00,0,0,0,0.158634538,0
0,AZ,Independent,1,2019,20191.00,0,0,0,0.158634538,0
0,HI,Independent,1,2019,20191.00,59,54,34295.43,0.642857143,0
0,HI,Independent,1,2019,20191.00,53.5,30,20313.69,0.357142857,0
0,NJ,Independent,1,2019,20191.00,135,127,76325.41,0.651282051,0
0,NJ,Independent,1,2019,20191.00,51,32,18867.51,0.164102564,0
1,NJ,Independent,1,2019,20191.00,0,0,0,0.184615385,0
0,NJ,Independent,1,2019,20191.00,46,36,25696.19,0.184615385,0
0,NJ,Independent,1,2019,20191.00,0,0,0,0.184615385,0
1,NM,Independent,1,2019,20191.00,0,0,0,0.852272727,0
0,NM,Independent,1,2019,20191.00,80,75,45927.52,0.852272727,0
0,NM,Independent,1,2019,20191.00,0,0,0,0,0
1,NM,Independent,1,2019,20191.00,0,0,0,0.147727273,0
0,NM,Independent,1,2019,20191.00,18,13,10528.88,0.147727273,0
0,NM,Independent,1,2019,20191.00,0,0,0,0.147727273,0
0,NM,Independent,1,2019,20191.00,0,0,0,0.147727273,0
1,SD,SSDC,1,2019,20191.00,44,44,24981.44,1,0
1,SD,SSDC,1,2019,20191.00,0,0,0,0,0
1,SD,SSDC,1,2019,20191.00,0,0,0,0,0
1,AL,Independent,1,2019,20191.00,238,223,139152.29,0.652046784,0
1,AL,Independent,1,2019,20191.00,74.25,50,28994.01,0.14619883,0
1,AL,Independent,1,2019,20191.00,82,69,48469.8,0.201754386,0
1,CT,TOP$,1,2019,20191.00,439,351,248281.27,0.761388286,0
1,CT,TOP$,1,2019,20191.00,63,30,23604.76,0.065075922,0
1,CT,TOP$,1,2019,20191.00,109,80,61845.19,0.173535792,0
1,CT,TOP$,1,2019,20191.00,0,0,0,0.173535792,0
1,DC,NMPI,1,2019,20191.00,0,0,0,0,0
0,DC,NMPI,1,2019,20191.00,0,0,0,0,0
1,DC,NMPI,1,2019,20191.00,0,0,0,1,0
0,DC,NMPI,1,2019,20191.00,27,18,9217.81,1,0
0,DC,NMPI,1,2019,20191.00,0,0,0,0,0
1,DE,SSDC,1,2019,20191.00,0,0,0,0.738095238,0
0,DE,SSDC,1,2019,20191.00,64,62,0,0.738095238,0
0,DE,SSDC,1,2019,20191.00,33,22,0,0.261904762,0
1,FL,Independent,1,2019,20191.00,0,0,0,0.727659574,0
0,FL,Independent,1,2019,20191.00,374,342,208774.19,0.727659574,0
0,FL,Independent,1,2019,20191.00,88.5,59,33361.89,0.125531915,0
1,FL,Independent,1,2019,20191.00,0,0,0,0.125531915,0
0,FL,Independent,1,2019,20191.00,77,69,43025.7,0.146808511,0
0,FL,Independent,1,2019,20191.00,0,0,0,0.146808511,0
0,IA,SSDC,1,2019,20191.00,134,125,75771.81,0.631313131,0
1,IA,SSDC,1,2019,20191.00,0,0,0,0.181818182,0
0,IA,SSDC,1,2019,20191.00,60,36,23000.89,0.181818182,0
0,IA,SSDC,1,2019,20191.00,0,0,0,0.186868687,0
0,IA,SSDC,1,2019,20191.00,41,37,23575.78,0.186868687,0
0,IL,Independent,1,2019,20191.00,69,46,34820.97,0.178294574,0
1,IL,Independent,1,2019,20191.00,0,0,0,0.178294574,0
0,IN,Independent,1,2019,20191.00,672,620,384400.93,0.607582938,0
1,IN,Independent,1,2019,20191.00,25,21,14151.58,0.607582938,0
0,IN,Independent,1,2019,20191.00,237,150,90906.5,0.142180095,0
1,IN,Independent,1,2019,20191.00,0,0,0,0.142180095,0
1,IN,Independent,1,2019,20191.00,13,12,7451.03,0.250236967,0
0,IN,Independent,1,2019,20191.00,292,252,166556.66,0.250236967,0
0,IN,Independent,1,2019,20191.00,0,0,0,0.250236967,0
1,KY,NMPI,1,2019,20191.00,0,0,0,0.551219512,0
0,KY,NMPI,1,2019,20191.00,616,565,358828.52,0.551219512,0
1,KY,NMPI,1,2019,20191.00,0,0,0,0.24195122,0
0,KY,NMPI,1,2019,20191.00,384,248,148055.45,0.24195122,0
1,KY,NMPI,1,2019,20191.00,0,0,0,0.206829268,0
0,KY,NMPI,1,2019,20191.00,0,0,0,0.206829268,0
0,KY,NMPI,1,2019,20191.00,241,212,140972.08,0.206829268,0
0,KY,NMPI,1,2019,20191.00,0,0,0,0.206829268,0
1,ME,SSDC,1,2019,20191.00,127,116,71910.97,1,0
1,ME,SSDC,1,2019,20191.00,0,0,0,0,0
1,ME,SSDC,1,2019,20191.00,0,0,0,0,0
1,ME,SSDC,1,2019,20191.00,0,0,0,0,0
0,MS,SSDC,1,2019,20191.00,71,62,40265.44,0.62,0
1,MS,SSDC,1,2019,20191.00,0,0,0,0.62,0
1,MS,SSDC,1,2019,20191.00,0,0,0,0.38,0
0,MS,SSDC,1,2019,20191.00,57,38,21513.32,0.38,0
0,MS,SSDC,1,2019,20191.00,0,0,0,0,0
0,MS,SSDC,1,2019,20191.00,0,0,0,0,0
1,MT,NMPI,1,2019,20191.00,32,32,18750.59,0.432432432,0
1,MT,NMPI,1,2019,20191.00,39,26,15276.46,0.351351351,0
1,MT,NMPI,1,2019,20191.00,24,16,13994.26,0.216216216,0
0,ND,SSDC,1,2019,20191.00,0,0,0,0,0
1,ND,SSDC,1,2019,20191.00,0,0,0,0,0
0,NE,TOP$,1,2019,20191.00,64,61,34231.34,0.726190476,0
0,NE,TOP$,1,2019,20191.00,0,0,0,0,0
0,NE,TOP$,1,2019,20191.00,26,23,14866.99,0.273809524,0
1,NV,NMPI,1,2019,20191.00,67,53,37875.4,0.510040161,0
0,NV,NMPI,1,2019,20191.00,77,74,44974.17,0.510040161,0
1,NV,NMPI,1,2019,20191.00,60,34,22559.96,0.369477912,0
0,NV,NMPI,1,2019,20191.00,87,58,33710.94,0.369477912,0
0,NV,NMPI,1,2019,20191.00,33,30,19163.1,0.120481928,0
1,NV,NMPI,1,2019,20191.00,0,0,0,0.120481928,0
0,NV,NMPI,1,2019,20191.00,0,0,0,0.120481928,0
1,NV,NMPI,1,2019,20191.00,0,0,0,0.120481928,0
0,NV,NMPI,1,2019,20191.00,0,0,0,0.120481928,0
0,NY,NMPI,1,2019,20191.00,575,539,322915.05,0.614537445,0
1,NY,NMPI,1,2019,20191.00,19,19,10720.86,0.614537445,0
0,NY,NMPI,1,2019,20191.00,400.5,253,148763.83,0.278634361,0
1,NY,NMPI,1,2019,20191.00,0,0,0,0.278634361,0
